title,binding,our_price,isbn13,competitor_price,used_price,new_price,rental_price,marketplace_price,pricing_action,adjusted_price,profit
The Autobiography of Malcolm X,BOOK,23.43,9780345350688,4.0,7.71,,,4.0,reduce_price,3.8,-19.63
The Art of Fielding,BOOK,22.1,9780316126694,4.69,5.63,,,4.69,reduce_price,4.46,-17.64
Stiff: The Curious Lives of Human Cadavers,BOOK,36.74,9780393324822,4.0,,,,4.0,reduce_price,3.8,-32.94
Seven Days in the Art World,BOOK,52.33,9780393067224,5.4,,,,5.4,reduce_price,5.13,-47.2
Seven Brief Lessons on Physics,BOOK,30.6,9780399184413,1.67,,,,1.67,reduce_price,1.59,-29.01
Sarah's Key,BOOK,46.29,9780312370831,7.05,,,,7.05,reduce_price,6.7,-39.59
Rework,BOOK,44.88,9780307463746,1.72,,,,1.72,reduce_price,1.63,-43.25
Red: The True Story of Red Riding Hood,BOOK,28.54,9780385755863,0.96,,,,0.96,reduce_price,0.91,-27.63
Ready Player One,BOOK,19.07,9780307887443,1.82,1.82,,,5.4,reduce_price,1.73,-17.34
Packing for Mars: The Curious Science of Life in the Void,BOOK,56.68,9780393339918,1.22,,,,1.22,reduce_price,1.16,-55.52
Manuscript Found in Accra,BOOK,34.98,9780345805058,0.96,,,,0.96,reduce_price,0.91,-34.07
Lust & Wonder,BOOK,11.87,9780312342036,5.13,5.13,,,22.0,reduce_price,4.87,-7.0
Let's Pretend This Never Happened: A Mostly True Memoir,BOOK,45.11,9780425261019,1.04,,,,1.04,reduce_price,0.99,-44.12
Is Everyone Hanging Out Without Me? (And Other Concerns),BOOK,20.11,9780307886279,2.99,,,,2.99,reduce_price,2.84,-17.27
I've Got Your Number,BOOK,19.69,9780385342063,2.22,2.22,,,,reduce_price,2.11,-17.58
Dark Places,BOOK,23.9,9781101902882,4.99,,,,4.99,reduce_price,4.74,-19.16
Cosmos,BOOK,36.17,9780345539434,12.61,,,,12.61,reduce_price,11.98,-24.19
Civilization and Its Discontents,BOOK,59.95,9780486282534,3.26,3.26,,,6.49,reduce_price,3.1,-56.85
Brave Enough,BOOK,51.32,9781101946909,1.02,,,,1.02,reduce_price,0.97,-50.35
Boy Meets Boy,BOOK,21.12,9780375832994,5.11,,,,5.11,reduce_price,4.85,-16.27
Big Little Lies,BOOK,22.11,9781524754686,6.36,6.36,,,,reduce_price,6.04,-16.07
Between Shades of Gray,BOOK,20.79,9780142420591,1.69,,,,1.69,reduce_price,1.61,-19.18
Between Shades of Gray,BOOK,20.79,9780593404850,5.05,5.05,,,,reduce_price,4.8,-15.99
